mean	SE	variable	val	print
47.7240581696869	0.162335658587737	age	age	47.7 (0.2)
0	0	age_verbose	0-9	 0.0 (0.0)
0.0336218605887584	0.00175892860945468	age_verbose	10-19	 3.4 (0.2)
0.17558796636659	0.00325307519014755	age_verbose	20-29	17.6 (0.3)
0.17111146120022	0.00261303728072316	age_verbose	30-39	17.1 (0.3)
0.159825200330801	0.00263153309637313	age_verbose	40-49	16.0 (0.3)
0.163692625571883	0.00252050825810459	age_verbose	50-59	16.4 (0.3)
0.153638919275199	0.00227828421493943	age_verbose	60-69	15.4 (0.2)
0.093890480073981	0.00186301242521745	age_verbose	70-79	 9.4 (0.2)
0.0486314865925613	0.00141274053306543	age_verbose	80+	 4.9 (0.1)
0.517049616499627	0.00355135108337686	sex_lab	Female	51.7 (0.4)
0.482868993773495	0.00355331923613878	sex_lab	Male	48.3 (0.4)
8.13897268713011e-05	4.82837443849336e-05	sex_lab	Refused	 0.0 (0.0)
0.165419507642736	0.00645567207176127	race_eth	Hispanic	16.5 (0.6)
0.0588138512697894	0.00264018151195865	race_eth	NH Asian	 5.9 (0.3)
0.117521276203803	0.00445129658042598	race_eth	NH Black	11.8 (0.4)
0.632277368151372	0.00776871067539856	race_eth	NH White	63.2 (0.8)
0.0259679967322873	0.00255466233705794	race_eth	Other/Unknown	 2.6 (0.3)
27.8264192394966	0.0452381571426133	bmi_calc	bmi_calc	27.8 (0.0)
0.313792369386802	0.0034483397466674	bmi_cat	Normal weight	31.4 (0.3)
0.312015219331789	0.00363843229129836	bmi_cat	Obese	31.2 (0.4)
0.329623631078323	0.00336559064802851	bmi_cat	Overweight	33.0 (0.3)
0.0161120624985164	0.000876170432943183	bmi_cat	Underweight	 1.6 (0.1)
0.0284567177045657	0.00133686651402215	bmi_cat	Unknown	 2.8 (0.1)
0.0948621793283685	0.00205184573524561	cancer	cancer	0.1 (0.0)
0.0934676024556374	0.00197981535138889	diabetes	diabetes	0.1 (0.0)
0.0611536607903701	0.00181638821953502	anxiety	anxiety	0.1 (0.0)
0.0697204121678069	0.00196951161593947	depression	depression	0.1 (0.0)
0.316502502060856	0.00379698127392683	hypertension	hypertension	0.3 (0.0)
